month,geoid,tract,type
2018-10-01,36067003500,35,Larceny
2018-10-01,36067004600,46,Larceny
2018-10-01,36067005100,51,Larceny
2018-10-01,36067002700,27,Larceny
2018-10-01,36067003000,30,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067003602,36.02,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067000501,05.01,Larceny
2018-10-01,36067003601,36.01,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067001500,15,Larceny
2018-10-01,36067003400,34,Larceny
2018-10-01,36067001600,16,Larceny
2018-10-01,36067004600,46,Larceny
2018-10-01,36067002901,29.01,Larceny
2018-10-01,36067003900,39,Larceny
2018-10-01,36067002300,23,Larceny
2018-10-01,36067000600,06,Larceny
2018-10-01,36067003900,39,Larceny
2018-10-01,36067000400,04,Larceny
2018-10-01,36067000501,05.01,Larceny
2018-10-01,36067004500,45,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067001701,17.01,Larceny
2018-10-01,36067006101,61.01,Larceny
2018-10-01,36067002700,27,Larceny
2018-10-01,36067003400,34,Larceny
2018-10-01,36067004800,48,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067004600,46,Larceny
2018-10-01,36067000200,02,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067002901,29.01,Larceny
2018-10-01,36067002901,29.01,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067001400,14,Larceny
2018-10-01,36067000501,05.01,Larceny
2018-10-01,36067005000,50,Larceny
2018-10-01,36067005800,58,Larceny
2018-10-01,36067000501,05.01,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067001800,18,Larceny
2018-10-01,36067004500,45,Larceny
2018-10-01,36067001600,16,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067001900,19,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067001500,15,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067000600,06,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067001800,18,Larceny
2018-10-01,36067001600,16,Larceny
2018-10-01,36067001701,17.01,Larceny
2018-10-01,36067004500,45,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067003400,34,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067005200,52,Larceny
2018-10-01,36067001000,10,Larceny
2018-10-01,36067001000,10,Larceny
2018-10-01,36067003602,36.02,Larceny
2018-10-01,36067004500,45,Larceny
2018-10-01,36067005900,59,Larceny
2018-10-01,36067001000,10,Larceny
2018-10-01,36067006103,61.03,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067002700,27,Larceny
2018-10-01,36067003000,30,Larceny
2018-10-01,36067004500,45,Larceny
2018-10-01,36067005200,52,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067002901,29.01,Larceny
2018-10-01,36067002901,29.01,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067004600,46,Larceny
2018-10-01,36067005400,54,Larceny
2018-10-01,36067003000,30,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067004600,46,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067005900,59,Larceny
2018-10-01,36067000600,06,Larceny
2018-10-01,36067001702,17.02,Larceny
2018-10-01,36067000700,07,Larceny
2018-10-01,36067000800,08,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067003500,35,Larceny
2018-10-01,36067002700,27,Larceny
2018-10-01,36067000800,08,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067001400,14,Larceny
2018-10-01,36067001800,18,Larceny
2018-10-01,36067003602,36.02,Larceny
2018-10-01,36067004000,40,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067004500,45,Larceny
2018-10-01,36067001900,19,Larceny
2018-10-01,36067000400,04,Larceny
2018-10-01,36067003900,39,Larceny
2018-10-01,36067000200,02,Larceny
2018-10-01,36067004600,46,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067000600,06,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067000300,03,Larceny
2018-10-01,36067001600,16,Larceny
2018-10-01,36067004600,46,Larceny
2018-10-01,36067001900,19,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067003000,30,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067002400,24,Larceny
2018-10-01,36067000200,02,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067001900,19,Larceny
2018-10-01,36067000200,02,Larceny
2018-10-01,36067006102,61.02,Larceny
2018-10-01,36067004200,42,Larceny
2018-10-01,36067001600,16,Larceny
2018-10-01,36067001600,16,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067006000,60,Larceny
2018-10-01,36067002101,21.01,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067006101,61.01,Larceny
2018-10-01,36067003601,36.01,Larceny
2018-10-01,36067000700,07,Larceny
2018-10-01,36067001000,10,Larceny
2018-10-01,36067001800,18,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067001701,17.01,Larceny
2018-10-01,36067002300,23,Larceny
2018-10-01,36067006000,60,Larceny
2018-10-01,36067005800,58,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067001800,18,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067000400,04,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067001500,15,Larceny
2018-10-01,36067001800,18,Larceny
2018-10-01,36067002101,21.01,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067003500,35,Larceny
2018-10-01,36067000400,04,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067001500,15,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067003601,36.01,Larceny
2018-10-01,36067005100,51,Larceny
2018-10-01,36067003200,32,Larceny
2018-10-01,36067002400,24,Larceny
2018-10-01,36067005500,55,Larceny
2018-10-01,36067003602,36.02,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067005400,54,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067003602,36.02,Larceny
2018-10-01,36067005800,58,Larceny
2018-10-01,36067001500,15,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067006103,61.03,Larceny
2018-10-01,36067006101,61.01,Larceny
2018-10-01,36067002101,21.01,Larceny
2018-10-01,36067005200,52,Larceny
2018-10-01,36067001500,15,Larceny
2018-10-01,36067000700,07,Larceny
2018-10-01,36067002000,20,Larceny
2018-10-01,36067000300,03,Larceny
2018-10-01,36067003400,34,Larceny
2018-10-01,36067003601,36.01,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067002101,21.01,Larceny
2018-10-01,36067001702,17.02,Larceny
2018-10-01,36067000700,07,Larceny
2018-09-01,36067000400,04,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067002101,21.01,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067005000,50,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067004400,44,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067002101,21.01,Larceny
2018-09-01,36067004302,43.02,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067000501,05.01,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003800,38,Larceny
2018-09-01,36067001800,18,Larceny
2018-09-01,36067000600,06,Larceny
2018-09-01,36067000900,09,Larceny
2018-09-01,36067005601,56.01,Larceny
2018-09-01,36067001600,16,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067001900,19,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067003500,35,Larceny
2018-09-01,36067000600,06,Larceny
2018-09-01,36067000900,09,Larceny
2018-09-01,36067000900,09,Larceny
2018-09-01,36067001900,19,Larceny
2018-09-01,36067005800,58,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067001900,19,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067000800,08,Larceny
2018-09-01,36067000501,05.01,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067004200,42,Larceny
2018-09-01,36067003900,39,Larceny
2018-09-01,36067000300,03,Larceny
2018-09-01,36067001600,16,Larceny
2018-09-01,36067004400,44,Larceny
2018-09-01,36067003400,34,Larceny
2018-09-01,36067000400,04,Larceny
2018-09-01,36067001000,10,Larceny
2018-09-01,36067003800,38,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067005500,55,Larceny
2018-09-01,36067002300,23,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067001800,18,Larceny
2018-09-01,36067003400,34,Larceny
2018-09-01,36067004800,48,Larceny
2018-09-01,36067001900,19,Larceny
2018-09-01,36067006102,61.02,Larceny
2018-09-01,36067001900,19,Larceny
2018-09-01,36067000700,07,Larceny
2018-09-01,36067005200,52,Larceny
2018-09-01,36067000900,09,Larceny
2018-09-01,36067001000,10,Larceny
2018-09-01,36067004302,43.02,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067000900,09,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067006101,61.01,Larceny
2018-09-01,36067004400,44,Larceny
2018-09-01,36067001600,16,Larceny
2018-09-01,36067004200,42,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067006101,61.01,Larceny
2018-09-01,36067000501,05.01,Larceny
2018-09-01,36067001800,18,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067000200,02,Larceny
2018-09-01,36067004000,40,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067003000,30,Larceny
2018-09-01,36067006101,61.01,Larceny
2018-09-01,36067001400,14,Larceny
2018-09-01,36067004400,44,Larceny
2018-09-01,36067003602,36.02,Larceny
2018-09-01,36067006000,60,Larceny
2018-09-01,36067005601,56.01,Larceny
2018-09-01,36067000400,04,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067005400,54,Larceny
2018-09-01,36067000900,09,Larceny
2018-09-01,36067000400,04,Larceny
2018-09-01,36067005400,54,Larceny
2018-09-01,36067005500,55,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067005000,50,Larceny
2018-09-01,36067006000,60,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003602,36.02,Larceny
2018-09-01,36067003602,36.02,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067004600,46,Larceny
2018-09-01,36067002700,27,Larceny
2018-09-01,36067002300,23,Larceny
2018-09-01,36067004600,46,Larceny
2018-09-01,36067000800,08,Larceny
2018-09-01,36067001400,14,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067005500,55,Larceny
2018-09-01,36067006103,61.03,Larceny
2018-09-01,36067001600,16,Larceny
2018-09-01,36067005300,53,Larceny
2018-09-01,36067004400,44,Larceny
2018-09-01,36067001800,18,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067004000,40,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067005601,56.01,Larceny
2018-09-01,36067004400,44,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067000300,03,Larceny
2018-09-01,36067005200,52,Larceny
2018-09-01,36067005200,52,Larceny
2018-09-01,36067004600,46,Larceny
2018-09-01,36067001600,16,Larceny
2018-09-01,36067004302,43.02,Larceny
2018-09-01,36067004800,48,Larceny
2018-09-01,36067004302,43.02,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067000400,04,Larceny
2018-09-01,36067005800,58,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067001702,17.02,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067004302,43.02,Larceny
2018-09-01,36067005601,56.01,Larceny
2018-09-01,36067006102,61.02,Larceny
2018-09-01,36067001000,10,Larceny
2018-09-01,36067003900,39,Larceny
2018-09-01,36067006101,61.01,Larceny
2018-09-01,36067005800,58,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067001600,16,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067004600,46,Larceny
2018-09-01,36067004600,46,Larceny
2018-09-01,36067001600,16,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003602,36.02,Larceny
2018-09-01,36067004600,46,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067004900,49,Larceny
2018-09-01,36067002901,29.01,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067006101,61.01,Larceny
2018-09-01,36067001900,19,Larceny
2018-09-01,36067004600,46,Larceny
2018-09-01,36067005400,54,Larceny
2018-09-01,36067006102,61.02,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067005800,58,Larceny
2018-09-01,36067004200,42,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067002400,24,Larceny
2018-09-01,36067006101,61.01,Larceny
2018-09-01,36067000300,03,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067006102,61.02,Larceny
2018-09-01,36067001000,10,Larceny
2018-09-01,36067005200,52,Larceny
2018-09-01,36067005500,55,Larceny
2018-09-01,36067000800,08,Larceny
2018-09-01,36067003500,35,Larceny
2018-09-01,36067005300,53,Larceny
2018-09-01,36067002300,23,Larceny
2018-09-01,36067005100,51,Larceny
2018-09-01,36067005300,53,Larceny
2018-09-01,36067001600,16,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003900,39,Larceny
2018-09-01,36067001600,16,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003400,34,Larceny
2018-09-01,36067004000,40,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067000600,06,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067002300,23,Larceny
2018-09-01,36067003601,36.01,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067005400,54,Larceny
2018-09-01,36067005400,54,Larceny
2018-09-01,36067005800,58,Larceny
2018-09-01,36067000300,03,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067004600,46,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067001000,10,Larceny
2018-09-01,36067005500,55,Larceny
2018-09-01,36067002000,20,Larceny
2018-09-01,36067003601,36.01,Larceny
2018-09-01,36067001600,16,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067005200,52,Larceny
2018-09-01,36067002300,23,Larceny
2018-09-01,36067005700,57,Larceny
2018-09-01,36067002901,29.01,Larceny
2018-09-01,36067003400,34,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067004400,44,Larceny
2018-09-01,36067004200,42,Larceny
2018-09-01,36067000501,05.01,Larceny
2018-09-01,36067003601,36.01,Larceny
2018-09-01,36067004302,43.02,Larceny
2018-09-01,36067003900,39,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067002700,27,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067000800,08,Larceny
2018-09-01,36067002300,23,Larceny
2018-09-01,36067005500,55,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067005900,59,Larceny
2018-09-01,36067002300,23,Larceny
2018-09-01,36067000600,06,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067005300,53,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067000600,06,Larceny
2018-09-01,36067003601,36.01,Larceny
2018-09-01,36067000600,06,Larceny
2018-09-01,36067001900,19,Larceny
2018-09-01,36067006101,61.01,Larceny
2018-09-01,36067000600,06,Larceny
2018-09-01,36067004000,40,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067004000,40,Larceny
2018-09-01,36067005000,50,Larceny
2018-09-01,36067004200,42,Larceny
2018-09-01,36067003500,35,Larceny
2018-09-01,36067000501,05.01,Larceny
2018-09-01,36067005000,50,Larceny
2018-09-01,36067005000,50,Larceny
2018-09-01,36067000600,06,Larceny
2018-09-01,36067000600,06,Larceny
2018-09-01,36067006102,61.02,Larceny
2018-09-01,36067001500,15,Larceny
2018-09-01,36067001702,17.02,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067001900,19,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067003200,32,Larceny
2018-09-01,36067001000,10,Larceny
2018-09-01,36067004400,44,Larceny
2018-09-01,36067004302,43.02,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067004500,45,Larceny
2018-09-01,36067000700,07,Larceny
2018-09-01,36067002000,20,Larceny
2018-09-01,36067000100,01,Larceny
2018-09-01,36067006101,61.01,Larceny
2018-09-01,36067006103,61.03,Larceny
2018-09-01,36067004400,44,Larceny
2018-09-01,36067001800,18,Larceny
2018-08-01,36067002101,21.01,Larceny
2018-08-01,36067001600,16,Larceny
2018-08-01,36067001000,10,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067004400,44,Larceny
2018-08-01,36067000900,09,Larceny
2018-08-01,36067004800,48,Larceny
2018-08-01,36067004600,46,Larceny
2018-08-01,36067004400,44,Larceny
2018-08-01,36067003200,32,Larceny
2018-08-01,36067003400,34,Larceny
2018-08-01,36067000200,02,Larceny
2018-08-01,36067002300,23,Larceny
